left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	pr_subClassOf	pr_superClassOf	pr_equivalentTo	pr_other	left_novel	right_novel	left_consistent	right_consistent	equiv_clique_size
http://sweetontology.net/propSpaceHeight/Elevation		ENVO:00000176	elevation	label	label	Elevation	elevation	100.0	0.5	1.0	2	0.5	0.052662487968657884	0.052662487968657884	0.8664138362994327	0.0282611877632515	True	True	False	False	459
http://sweetontology.net/propSpaceThickness/Evapotranspiration		ENVO:02500033	evapotranspiration	label	label	Evapotranspiration	evapotranspiration	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/propSpaceThickness/Precipitation		ENVO:01000703	hydrological precipitation process	label	hasBroadSynonym	Precipitation	precipitation	50.0	0.5	1.0	0	0.5	0.035965573507610225	0.23336143030378562	0.6221738118614605	0.10849918432714363	True	True	False	False	3
http://sweetontology.net/propSpaceThickness/Snowpack		ENVO:03000116	snowpack	label	label	Snowpack	snowpack	100.0	1.0	0.5	4	1.0	0.05152030226182133	0.05152030226182133	0.8693111587142172	0.027648236762140028	True	True	False	False	2
http://sweetontology.net/propTime/Cycle		ENVO:01000614	bicycle	label	hasBroadSynonym	Cycle	cycle	50.0	1.0	1.0	1	0.25	0.07773895589135113	0.39309684597494676	0.425636182608502	0.1035280155252001	True	True	False	False	5
http://sweetontology.net/propTime/Cycle		ENVO:01000615	motorcycle	label	hasBroadSynonym	Cycle	cycle	50.0	1.0	1.0	0	0.25	0.08298034221390162	0.41960057770515446	0.38691090488736646	0.11050817519357749	True	True	False	False	5
http://sweetontology.net/realm/Atmosphere		ENVO:01000267	atmosphere	label	label	Atmosphere	atmosphere	100.0	0.7777777777777778	1.0	4	1.0	0.05170071632663897	0.05170071632663897	0.8723553170915872	0.02424325025513478	True	True	False	False	2
http://sweetontology.net/realm/Cryosphere		ENVO:01000818	cryosphere	label	label	Cryosphere	cryosphere	100.0	0.5	1.0	4	1.0	0.05152030226182133	0.05152030226182133	0.8693111587142172	0.027648236762140028	True	True	False	False	459
http://sweetontology.net/realm/Hydrosphere		ENVO:01000819	hydrosphere	label	label	Hydrosphere	hydrosphere	100.0	0.4375	1.0	4	1.0	0.05147654655360508	0.05147654655360508	0.868572860922086	0.028474045970703802	True	True	False	False	459
http://sweetontology.net/realm/Land		ENVO:01000635	land	label	label	Land	land	70.58823529411764	0.5	0.4117647058823529	0	0.32	0.052806304797146666	0.052806304797146666	0.8567521062554138	0.03763528415029274	True	True	False	False	7
