sweet:phenAtmo/WeatherCondition	weather condition	odm:weatherConditions	Weather conditions	weather condit		info(label-label,rdf(sweet:phenAtmo/WeatherCondition-weather condition,rdfs:label,(weather condition-weather condition)@en)-rdf(odm:weatherConditions-Weather conditions,skos:prefLabel,Weather conditions-Weather conditions^^xsd:string),stem)	
sweet:phenBiol/Transpiration	transpiration	odm:transpiration	Transpiration	transpir		info(label-label,rdf(sweet:phenBiol/Transpiration-transpiration,rdfs:label,(transpiration-transpiration)@en)-rdf(odm:transpiration-Transpiration,skos:prefLabel,Transpiration-Transpiration^^xsd:string),stem)	
sweet:phenEcology/PrimaryProduction	primary production	odm:primaryProductivity	Primary productivity	primary product		info(label-label,rdf(sweet:phenEcology/PrimaryProduction-primary production,rdfs:label,(primary production-primary production)@en)-rdf(odm:primaryProductivity-Primary productivity,skos:prefLabel,Primary productivity-Primary productivity^^xsd:string),stem)	
sweet:phenHydro/Discharge	discharge	odm:discharge	Discharge	discharg		info(label-label,rdf(sweet:phenHydro/Discharge-discharge,rdfs:label,(discharge-discharge)@en)-rdf(odm:discharge-Discharge,skos:prefLabel,Discharge-Discharge^^xsd:string),stem)	
sweet:phenHydro/Streamflow	streamflow	odm:streamflow	Streamflow	streamflow		info(label-label,rdf(sweet:phenHydro/Streamflow-streamflow,rdfs:label,(streamflow-streamflow)@en)-rdf(odm:streamflow-Streamflow,skos:prefLabel,Streamflow-Streamflow^^xsd:string),downcase)	
sweet:procPhysical/ElectricCurrent	electric current	odm:electricCurrent	Electric Current	electric curr		info(label-label,rdf(sweet:procPhysical/ElectricCurrent-electric current,rdfs:label,(electric current-electric current)@en)-rdf(odm:electricCurrent-Electric Current,skos:prefLabel,Electric Current-Electric Current^^xsd:string),stem)	
sweet:procPhysical/Orientation	orientation	odm:orientation	Orientation	orient		info(label-label,rdf(sweet:procPhysical/Orientation-orientation,rdfs:label,(orientation-orientation)@en)-rdf(odm:orientation-Orientation,skos:prefLabel,Orientation-Orientation^^xsd:string),stem)	
sweet:procStateChange/Evaporation	evaporation	odm:evaporation	Evaporation	evapor		info(label-label,rdf(sweet:procStateChange/Evaporation-evaporation,rdfs:label,(evaporation-evaporation)@en)-rdf(odm:evaporation-Evaporation,skos:prefLabel,Evaporation-Evaporation^^xsd:string),stem)	
sweet:propCharge/Permittivity	permittivity	odm:permittivity	Permittivity	permitt		info(label-label,rdf(sweet:propCharge/Permittivity-permittivity,rdfs:label,(permittivity-permittivity)@en)-rdf(odm:permittivity-Permittivity,skos:prefLabel,Permittivity-Permittivity^^xsd:string),stem)	
sweet:propChemical/Abundance	abundance	odm:abundance	Abundance	abund		info(label-label,rdf(sweet:propChemical/Abundance-abundance,rdfs:label,(abundance-abundance)@en)-rdf(odm:abundance-Abundance,skos:prefLabel,Abundance-Abundance^^xsd:string),stem)	
sweet:propChemical/COD	cod	odm:COD	COD	cod		info(label-label,rdf(sweet:propChemical/COD-cod,rdfs:label,(cod-cod)@en)-rdf(odm:COD-COD,skos:prefLabel,COD-COD^^xsd:string),downcase)	
sweet:propChemical/Salinity	salinity	odm:salinity	Salinity	salin		info(label-label,rdf(sweet:propChemical/Salinity-salinity,rdfs:label,(salinity-salinity)@en)-rdf(odm:salinity-Salinity,skos:prefLabel,Salinity-Salinity^^xsd:string),stem)	
sweet:propChemical/SodiumAdsorptionRatio	sodium adsorption ratio	odm:sodiumAdsorptionRatio	Sodium adsorption ratio	sodium adsorption ratio		info(label-label,rdf(sweet:propChemical/SodiumAdsorptionRatio-sodium adsorption ratio,rdfs:label,(sodium adsorption ratio-sodium adsorption ratio)@en)-rdf(odm:sodiumAdsorptionRatio-Sodium adsorption ratio,skos:prefLabel,Sodium adsorption ratio-Sodium adsorption ratio^^xsd:string),downcase)	
sweet:propChemical/pH	ph	odm:pH	pH	ph		info(label-label,rdf(sweet:propChemical/pH-ph,rdfs:label,(ph-ph)@en)-rdf(odm:pH-pH,skos:prefLabel,pH-pH^^xsd:string),downcase)	
sweet:propConductivity/ElectricalConductivity	electrical conductivity	odm:electricalConductivity	Electrical conductivity	electrical conduct		info(label-label,rdf(sweet:propConductivity/ElectricalConductivity-electrical conductivity,rdfs:label,(electrical conductivity-electrical conductivity)@en)-rdf(odm:electricalConductivity-Electrical conductivity,skos:prefLabel,Electrical conductivity-Electrical conductivity^^xsd:string),stem)	
sweet:propConductivity/SpecificConductance	specific conductance	odm:specificConductance	Specific conductance	specific conduct		info(label-label,rdf(sweet:propConductivity/SpecificConductance-specific conductance,rdfs:label,(specific conductance-specific conductance)@en)-rdf(odm:specificConductance-Specific conductance,skos:prefLabel,Specific conductance-Specific conductance^^xsd:string),stem)	
sweet:propDifference/NDVI	ndvi	odm:NDVI	NDVI	ndvi		info(label-label,rdf(sweet:propDifference/NDVI-ndvi,rdfs:label,(ndvi-ndvi)@en)-rdf(odm:NDVI-NDVI,skos:prefLabel,NDVI-NDVI^^xsd:string),downcase)	
